"Year","Age","mx","qx","ax","lx","dx","Lx","Tx","ex","px","Tpx"
1943,66,0.03479,0.0342,0.5,59591,2038,58572,736332,12.36,0.9658,0.9658
1943,67,0.0377,0.03701,0.5,57553,2130,56488,677760,11.78,0.96299,0.930055742
1943,68,0.04076,0.03995,0.5,55423,2214,54316,621271,11.21,0.96005,0.8929000151071
1943,69,0.04411,0.04316,0.5,53209,2297,52061,566955,10.66,0.95684,0.854362450455078
1943,70,0.04865,0.04749,0.5,50913,2418,49704,514894,10.11,0.95251,0.813788777682966
1943,71,0.05408,0.05266,0.5,48495,2554,47218,465190,9.59,0.94734,0.770934660650181
1943,72,0.05988,0.05814,0.5,45941,2671,44606,417972,9.1,0.94186,0.726112519479979
1943,73,0.06579,0.0637,0.5,43270,2756,41892,373366,8.63,0.9363,0.679859151989105
1943,74,0.07153,0.06906,0.5,40514,2798,39115,331474,8.18,0.93094,0.632908078952737
1943,75,0.07686,0.07401,0.5,37716,2791,36320,292358,7.75,0.92599,0.586066552029445
1943,76,0.08238,0.07912,0.5,34925,2763,33543,256038,7.33,0.92088,0.539696966432875
1943,77,0.08953,0.0857,0.5,32161,2756,30783,222495,6.92,0.9143,0.493444936409578
1943,78,0.09978,0.09504,0.5,29405,2795,28008,191712,6.52,0.90496,0.446547929653212
1943,79,0.1124,0.10642,0.5,26611,2832,25195,163704,6.15,0.89358,0.399026298979517
1943,80,0.11839,0.11177,0.5,23779,2658,22450,138509,5.82,0.88823,0.354427129542576
1943,81,0.12859,0.12082,0.5,21121,2552,19845,116059,5.49,0.87918,0.311605243751242
1943,82,0.13907,0.13003,0.5,18569,2415,17362,96214,5.18,0.86997,0.271087213906268
1943,83,0.15152,0.14085,0.5,16155,2275,15017,78852,4.88,0.85915,0.23290457982757
1943,84,0.16551,0.15286,0.5,13879,2122,12819,63835,4.6,0.84714,0.197302785755128
1943,85,0.17849,0.16387,0.5,11758,1927,10794,51017,4.34,0.83613,0.164970778253435
1943,86,0.19197,0.17516,0.5,9831,1722,8970,40222,4.09,0.82484,0.136074496734563
1943,87,0.20805,0.18845,0.5,8109,1528,7345,31252,3.85,0.81155,0.110431257824935
1943,88,0.22742,0.2042,0.5,6581,1344,5909,23907,3.63,0.7958,0.0878811949770832
1943,89,0.24893,0.22138,0.5,5237,1159,4657,17998,3.44,0.77862,0.0684260560330565
1943,90,0.26998,0.23787,0.5,4078,970,3593,13341,3.27,0.76213,0.0521495500844734
1943,91,0.28781,0.2516,0.5,3108,782,2717,9748,3.14,0.7484,0.0390287232832199
1943,92,0.29867,0.25987,0.5,2326,604,2024,7031,3.02,0.74013,0.0288863289636095
1943,93,0.30252,0.26278,0.5,1721,452,1495,5008,2.91,0.73722,0.0212955794385522
1943,94,0.30571,0.26518,0.5,1269,337,1101,3512,2.77,0.73482,0.0156484176830369
1943,95,0.34708,0.29576,0.5,933,276,795,2412,2.59,0.70424,0.0110202416691019
1943,96,0.36798,0.3108,0.5,657,204,555,1617,2.46,0.6892,0.00759515055834505
1943,97,0.3894,0.32594,0.5,453,148,379,1062,2.35,0.67406,0.00511958718535807
1943,98,0.41127,0.34112,0.5,305,104,253,683,2.24,0.65888,0.00337319360468872
1943,99,0.43352,0.35629,0.5,201,72,165,430,2.14,0.64371,0.00217135845527418
1943,100,0.45605,0.37137,0.5,129,48,105,265,2.05,0.62863,0.00136498106573901
1943,101,0.47879,0.38631,0.5,81,31,66,160,1.96,0.61369,0.000837675230233371
1943,102,0.50163,0.40104,0.5,50,20,40,94,1.89,0.59896,0.00050173395590058
1943,103,0.52448,0.41551,0.5,30,12,24,54,1.81,0.58449,0.00029325847988433
1943,104,0.54724,0.42968,0.5,17,8,14,31,1.75,0.57032,0.000167251176247631
1943,105,0.56983,0.44348,0.5,10,4,8,17,1.68,0.55652,9.30786246053316e-05
1943,106,0.59214,0.45688,0.5,6,3,4,9,1.63,0.54312,5.05528625956477e-05
1943,107,0.6141,0.46984,0.5,3,1,2,5,1.58,0.53016,2.68011056337086e-05
1943,108,0.63562,0.48233,0.5,2,1,1,2,1.54,0.51767,1.38741283534019e-05
1943,109,0.65662,0.49433,0.5,1,0,1,1,1.5,0.50567,7.01573048446475e-06
1943,110,0.67704,1,1.48,0,0,1,1,1.48,0,0
